,,,style,page load,item click,item id,user id,time to complete
2020-10-16T00:50:02.332930+00:00,app[web.1]:,AB_TESTING:,A,1602809400618.00,0.00,0,ypsocxfvi,0
2020-10-16T00:50:05.279123+00:00,app[web.1]:,AB_TESTING:,A,1602809403810.00,0.00,0,ypsocxfvi,0
2020-10-16T00:50:09.022851+00:00,app[web.1]:,AB_TESTING:,B,1602809407548.00,0.00,0,ypsocxfvi,0
2020-10-16T00:50:12.429770+00:00,app[web.1]:,AB_TESTING:,B,1602809410960.00,0.00,0,ypsocxfvi,0
2020-10-16T00:50:15.739265+00:00,app[web.1]:,AB_TESTING:,A,1602809414271.00,0.00,0,ypsocxfvi,0
2020-10-22T23:23:48.496828+00:00,app[web.1]:,AB_TESTING:,A,1603409027583.00,0.00,0,ypsocxfvi,0
2020-10-22T23:23:54.306877+00:00,app[web.1]:,AB_TESTING:,A,1603409027583.00,1603409033582.00,mp1,ypsocxfvi,5999
2020-10-22T23:23:54.883321+00:00,app[web.1]:,AB_TESTING:,A,1603409027583.00,1603409034139.00,mp2,ypsocxfvi,6556
2020-10-22T23:23:55.950223+00:00,app[web.1]:,AB_TESTING:,A,1603409027583.00,1603409035228.00,mp3,ypsocxfvi,7645
2020-10-22T23:23:56.757279+00:00,app[web.1]:,AB_TESTING:,A,1603409027583.00,1603409036033.00,mp4,ypsocxfvi,8450
2020-10-22T23:23:57.039276+00:00,app[web.1]:,AB_TESTING:,A,1603409027583.00,1603409036290.00,mp4,ypsocxfvi,8707
2020-10-22T23:23:57.304836+00:00,app[web.1]:,AB_TESTING:,A,1603409027583.00,1603409036576.00,mp4,ypsocxfvi,8993
2020-10-22T23:23:58.484597+00:00,app[web.1]:,AB_TESTING:,A,1603409027583.00,1603409037759.00,mp4,ypsocxfvi,10176
2020-10-22T23:23:59.882009+00:00,app[web.1]:,AB_TESTING:,C,1603409039123.00,0.00,0,ypsocxfvi,0
2020-10-22T23:24:04.036435+00:00,app[web.1]:,AB_TESTING:,A,1603409043311.00,0.00,0,ypsocxfvi,0
2020-10-23T00:29:01.792119+00:00,app[web.1]:,AB_TESTING:,B,1603412941051.00,0.00,0,ypsocxfvi,0
2020-10-23T11:42:27.317180+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,0.00,0,ypsocxfvi,0
2020-10-23T11:42:28.908733+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,1603453347386.00,mp1,ypsocxfvi,1714
2020-10-23T11:42:29.898931+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,1603453348378.00,mp2,ypsocxfvi,2706
2020-10-23T11:42:30.461125+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,1603453348939.00,mp3,ypsocxfvi,3267
2020-10-23T11:42:31.487659+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,1603453349966.00,mp4,ypsocxfvi,4294
2020-10-23T11:42:32.014645+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,1603453350491.00,mp3,ypsocxfvi,4819
2020-10-23T11:42:32.619154+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,1603453351090.00,mp4,ypsocxfvi,5418
2020-10-23T11:42:33.652260+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,1603453352129.00,mp4,ypsocxfvi,6457
2020-10-23T11:42:34.018524+00:00,app[web.1]:,AB_TESTING:,A,1603453345672.00,1603453352497.00,mp4,ypsocxfvi,6825
2020-10-23T11:42:35.390666+00:00,app[web.1]:,AB_TESTING:,C,1603453353867.00,0.00,0,ypsocxfvi,0
2020-10-23T11:42:39.662831+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,0.00,0,ypsocxfvi,0
2020-10-23T11:42:41.082873+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453359561.00,mp1,ypsocxfvi,1421
2020-10-23T11:42:42.003209+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453360483.00,mp2,ypsocxfvi,2343
2020-10-23T11:42:42.569999+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453361046.00,mp3,ypsocxfvi,2906
2020-10-23T11:42:43.378985+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453361858.00,mp2,ypsocxfvi,3718
2020-10-23T11:42:44.581994+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453363059.00,mp4,ypsocxfvi,4919
2020-10-23T11:42:46.319458+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453364798.00,mp1,ypsocxfvi,6658
2020-10-23T11:42:47.431702+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453365909.00,mp4,ypsocxfvi,7769
2020-10-23T11:42:47.707953+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453366183.00,mp4,ypsocxfvi,8043
2020-10-23T11:42:48.061071+00:00,app[web.1]:,AB_TESTING:,A,1603453358140.00,1603453366526.00,mp4,ypsocxfvi,8386
2020-10-23T11:42:49.726849+00:00,app[web.1]:,AB_TESTING:,C,1603453368197.00,0.00,0,ypsocxfvi,0
2020-10-23T11:42:53.948958+00:00,app[web.1]:,AB_TESTING:,B,1603453372424.00,0.00,0,ypsocxfvi,0
2020-10-23T11:42:55.757180+00:00,app[web.1]:,AB_TESTING:,B,1603453372424.00,1603453374236.00,mp1,ypsocxfvi,1812
2020-10-23T11:42:56.573716+00:00,app[web.1]:,AB_TESTING:,B,1603453372424.00,1603453375052.00,mp2,ypsocxfvi,2628
2020-10-23T11:42:57.411576+00:00,app[web.1]:,AB_TESTING:,B,1603453372424.00,1603453375885.00,mp4,ypsocxfvi,3461
2020-10-23T11:42:58.192403+00:00,app[web.1]:,AB_TESTING:,B,1603453372424.00,1603453376655.00,mp3,ypsocxfvi,4231
2020-10-23T11:42:59.099519+00:00,app[web.1]:,AB_TESTING:,B,1603453372424.00,1603453377571.00,mp1,ypsocxfvi,5147
2020-10-23T11:42:59.733577+00:00,app[web.1]:,AB_TESTING:,B,1603453372424.00,1603453378214.00,mp2,ypsocxfvi,5790
2020-10-23T11:43:00.347129+00:00,app[web.1]:,AB_TESTING:,B,1603453372424.00,1603453378818.00,mp4,ypsocxfvi,6394
2020-10-23T11:43:01.614902+00:00,app[web.1]:,AB_TESTING:,C,1603453380088.00,0.00,0,ypsocxfvi,0
2020-10-23T11:43:03.644394+00:00,app[web.1]:,AB_TESTING:,B,1603453382115.00,0.00,0,ypsocxfvi,0
2020-10-23T11:43:07.168115+00:00,app[web.1]:,AB_TESTING:,B,1603453385646.00,0.00,0,ypsocxfvi,0
2020-10-23T11:43:08.128407+00:00,app[web.1]:,AB_TESTING:,B,1603453385646.00,1603453386603.00,mp1,ypsocxfvi,957
2020-10-23T11:43:09.018803+00:00,app[web.1]:,AB_TESTING:,B,1603453385646.00,1603453387499.00,mp2,ypsocxfvi,1853
2020-10-23T11:43:10.131135+00:00,app[web.1]:,AB_TESTING:,B,1603453385646.00,1603453388610.00,mp3,ypsocxfvi,2964
2020-10-23T11:43:10.951242+00:00,app[web.1]:,AB_TESTING:,B,1603453385646.00,1603453389429.00,mp1,ypsocxfvi,3783
2020-10-23T11:43:11.884177+00:00,app[web.1]:,AB_TESTING:,B,1603453385646.00,1603453390361.00,mp2,ypsocxfvi,4715
